PERSONID,EDUC,LOGWAGE,POTEXPER,TIMETRND,ABILITY,MOTHERED,FATHERED,BRKNHOME,SIBLINGS 
8,13,2.48,14,10,0.51,12,15,1,2
8,13,2.46,16,12,0.51,12,15,1,2
8,13,1.91,17,13,0.51,12,15,1,2
8,13,2.01,18,14,0.51,12,15,1,2
9,13,1.95,2,0,0.86,12,12,0,2
9,18,2.92,9,12,0.86,12,12,0,2
9,19,2.79,9,13,0.86,12,12,0,2
10,11,2.19,5,3,0.26,12,12,0,2
10,11,2.39,10,8,0.26,12,12,0,2
10,11,2.56,11,9,0.26,12,12,0,2
10,11,2.7,12,10,0.26,12,12,0,2
10,11,2.65,13,11,0.26,12,12,0,2
10,11,1.56,15,13,0.26,12,12,0,2
10,11,2.6,16,14,0.26,12,12,0,2
11,12,2.44,1,2,1.82,16,17,1,2
11,13,1.61,1,3,1.82,16,17,1,2
11,14,1.64,1,4,1.82,16,17,1,2
12,13,2.41,4,2,-1.3,13,12,0,5
12,13,2.6,5,3,-1.3,13,12,0,5
12,13,2.16,6,4,-1.3,13,12,0,5
12,13,2.81,7,5,-1.3,13,12,0,5
12,13,2.61,8,6,-1.3,13,12,0,5
12,13,2.39,9,7,-1.3,13,12,0,5
12,13,2.91,10,8,-1.3,13,12,0,5
12,13,2.93,11,9,-1.3,13,12,0,5
12,13,2.79,12,10,-1.3,13,12,0,5
12,13,3.11,14,12,-1.3,13,12,0,5
12,13,2.9,15,13,-1.3,13,12,0,5
12,13,2.91,16,14,-1.3,13,12,0,5
13,12,2.07,3,0,-0.63,12,12,1,4
13,12,1.57,5,2,-0.63,12,12,1,4
13,12,2.03,6,3,-0.63,12,12,1,4
13,12,2.09,7,4,-0.63,12,12,1,4
13,12,2.35,8,5,-0.63,12,12,1,4
13,12,1.88,10,7,-0.63,12,12,1,4
13,12,2.48,12,9,-0.63,12,12,1,4
13,12,2.59,13,10,-0.63,12,12,1,4
13,12,2.63,14,11,-0.63,12,12,1,4
13,12,2.52,15,12,-0.63,12,12,1,4
13,12,3.46,16,13,-0.63,12,12,1,4
13,12,3.88,17,14,-0.63,12,12,1,4
14,12,2.2,6,4,-0.36,10,12,1,2
14,12,2.24,7,5,-0.36,10,12,1,2
14,12,0.71,14,12,-0.36,10,12,1,2
15,12,2.12,3,4,0.28,10,12,1,3
15,12,2.24,4,5,0.28,10,12,1,3
15,12,2.23,5,6,0.28,10,12,1,3
15,13,2.11,5,7,0.28,10,12,1,3
15,13,2.2,6,8,0.28,10,12,1,3
15,13,2.37,7,9,0.28,10,12,1,3
15,13,2.54,8,10,0.28,10,12,1,3
15,13,2.66,9,11,0.28,10,12,1,3
15,13,2.89,10,12,0.28,10,12,1,3
15,13,3.21,11,13,0.28,10,12,1,3
15,13,3.22,12,14,0.28,10,12,1,3
16,12,2.45,4,6,-0.72,14,12,0,1
16,12,2.5,10,12,-0.72,14,12,0,1
16,12,1.53,11,13,-0.72,14,12,0,1
16,12,2.56,12,14,-0.72,14,12,0,1
17,12,2.49,3,1,-0.01,9,10,1,2
17,12,2.47,4,2,-0.01,9,10,1,2
17,12,2.19,5,3,-0.01,9,10,1,2
17,12,1.76,6,4,-0.01,9,10,1,2
17,12,2.39,7,5,-0.01,9,10,1,2
17,12,2.48,8,6,-0.01,9,10,1,2
17,12,2.58,9,7,-0.01,9,10,1,2
17,12,2.4,10,8,-0.01,9,10,1,2
17,12,2.79,11,9,-0.01,9,10,1,2
17,12,2.77,12,10,-0.01,9,10,1,2
17,12,2.8,13,11,-0.01,9,10,1,2
17,12,2.75,14,12,-0.01,9,10,1,2
18,12,2.66,3,0,0.83,12,16,0,1
18,12,2.67,4,1,0.83,12,16,0,1
18,12,2.75,5,2,0.83,12,16,0,1
18,12,2.77,6,3,0.83,12,16,0,1
18,12,2.72,9,6,0.83,12,16,0,1
18,12,2.94,10,7,0.83,12,16,0,1
18,12,2.86,11,8,0.83,12,16,0,1
18,12,2.85,12,9,0.83,12,16,0,1
18,12,2.83,13,10,0.83,12,16,0,1
18,12,2.95,14,11,0.83,12,16,0,1
18,12,3.09,15,12,0.83,12,16,0,1
18,12,2.73,16,13,0.83,12,16,0,1
18,12,2.94,17,14,0.83,12,16,0,1
19,12,2.34,3,0,-0.69,12,12,1,3
19,12,2.67,4,1,-0.69,12,12,1,3
19,12,2.01,6,3,-0.69,12,12,1,3
19,12,3.01,7,4,-0.69,12,12,1,3
20,14,2.52,2,1,1.04,12,14,0,6
20,14,2.41,3,2,1.04,12,14,0,6
20,14,2.5,4,3,1.04,12,14,0,6
20,14,2.55,5,4,1.04,12,14,0,6
20,14,2.63,6,5,1.04,12,14,0,6
20,14,2.68,7,6,1.04,12,14,0,6
21,10,2.19,2,0,1.18,12,16,0,2
21,12,2.47,4,4,1.18,12,16,0,2
21,12,2.63,5,5,1.18,12,16,0,2
21,12,2.69,6,6,1.18,12,16,0,2
21,12,2.71,7,7,1.18,12,16,0,2
21,12,3.29,8,8,1.18,12,16,0,2
21,12,3.57,9,9,1.18,12,16,0,2
21,12,3.29,10,10,1.18,12,16,0,2
21,12,3.37,11,11,1.18,12,16,0,2
21,12,3.32,13,13,1.18,12,16,0,2
21,12,3.44,14,14,1.18,12,16,0,2
22,12,2.25,2,0,1.04,12,12,0,3
22,16,2.4,4,6,1.04,12,12,0,3
22,16,2.31,5,7,1.04,12,12,0,3
22,16,2.62,6,8,1.04,12,12,0,3
23,12,2.23,5,5,0.47,15,12,0,3
24,12,1.59,2,4,-0.94,12,17,0,3
24,13,1.85,4,7,-0.94,12,17,0,3
25,18,2.8,5,14,0.78,17,16,0,1
26,17,3.42,5,12,1.22,17,16,0,1
26,17,3.5,6,13,1.22,17,16,0,1
26,17,3.34,7,14,1.22,17,16,0,1
27,13,0.92,4,7,-0.13,16,16,0,3
27,13,1.96,5,8,-0.13,16,16,0,3
27,13,1.85,6,9,-0.13,16,16,0,3
27,13,2.01,7,10,-0.13,16,16,0,3
27,13,3.2,8,11,-0.13,16,16,0,3
27,13,2.58,9,12,-0.13,16,16,0,3
27,13,2.45,10,13,-0.13,16,16,0,3
27,13,2.22,11,14,-0.13,16,16,0,3
28,17,2.55,3,7,1.52,16,18,0,2
28,17,2.85,4,8,1.52,16,18,0,2
28,17,3.68,5,9,1.52,16,18,0,2
28,17,3.63,6,10,1.52,16,18,0,2
28,17,3.66,7,11,1.52,16,18,0,2
28,17,3.64,8,12,1.52,16,18,0,2
28,17,4.04,10,14,1.52,16,18,0,2
29,16,2.09,1,2,0.3,5,4,0,2
29,16,1.63,2,3,0.3,5,4,0,2
29,16,2.45,4,5,0.3,5,4,0,2
29,16,2.73,6,7,0.3,5,4,0,2
29,16,2.9,7,8,0.3,5,4,0,2
29,16,3.03,8,9,0.3,5,4,0,2
29,16,3.06,9,10,0.3,5,4,0,2
29,16,3.13,10,11,0.3,5,4,0,2
29,16,3.21,11,12,0.3,5,4,0,2
29,16,3.29,12,13,0.3,5,4,0,2
29,16,3.26,13,14,0.3,5,4,0,2
30,12,1.81,2,1,1.18,12,9,0,1
30,13,2.05,2,2,1.18,12,9,0,1
30,14,2.01,2,3,1.18,12,9,0,1
30,15,1.74,3,5,1.18,12,9,0,1
30,15,2.67,4,6,1.18,12,9,0,1
30,15,2.46,5,7,1.18,12,9,0,1
30,15,2.49,6,8,1.18,12,9,0,1
30,15,2.65,7,9,1.18,12,9,0,1
30,15,2.56,8,10,1.18,12,9,0,1
30,15,2.72,9,11,1.18,12,9,0,1
30,15,2.83,10,12,1.18,12,9,0,1
30,15,2.92,11,13,1.18,12,9,0,1
30,15,2.85,12,14,1.18,12,9,0,1
31,11,1.77,2,1,0.42,11,9,0,2
31,12,1.74,2,2,0.42,11,9,0,2
31,14,2.25,3,5,0.42,11,9,0,2
31,14,2,4,6,0.42,11,9,0,2
31,15,1.96,4,7,0.42,11,9,0,2
31,15,2.08,5,8,0.42,11,9,0,2
31,15,2.42,6,9,0.42,11,9,0,2
31,15,2.42,7,10,0.42,11,9,0,2
31,15,2.5,8,11,0.42,11,9,0,2
31,15,2.55,9,12,0.42,11,9,0,2
31,15,2.6,10,13,0.42,11,9,0,2
31,15,2.56,11,14,0.42,11,9,0,2
32,15,1.66,1,1,0.71,11,8,0,2
32,16,1.62,1,2,0.71,11,8,0,2
32,16,1.85,2,3,0.71,11,8,0,2
32,19,1.57,3,7,0.71,11,8,0,2
32,20,1.91,5,10,0.71,11,8,0,2
32,20,2.4,6,11,0.71,11,8,0,2
32,20,2.26,9,14,0.71,11,8,0,2
33,12,2.78,6,1,0.18,6,7,0,3
33,12,2.6,7,2,0.18,6,7,0,3
33,12,2.7,8,3,0.18,6,7,0,3
33,12,1.76,9,4,0.18,6,7,0,3
33,12,2,10,5,0.18,6,7,0,3
33,12,2.65,11,6,0.18,6,7,0,3
33,12,2.6,13,8,0.18,6,7,0,3
33,12,2.7,15,10,0.18,6,7,0,3
33,12,2.86,16,11,0.18,6,7,0,3
34,14,2.37,4,4,1.17,10,12,0,2
34,14,2.63,5,5,1.17,10,12,0,2
34,14,2.57,6,6,1.17,10,12,0,2
34,14,2.58,7,7,1.17,10,12,0,2
34,14,2.68,8,8,1.17,10,12,0,2
34,14,2.77,9,9,1.17,10,12,0,2
34,14,2.83,10,10,1.17,10,12,0,2
34,14,2.83,11,11,1.17,10,12,0,2
34,14,2.84,12,12,1.17,10,12,0,2
34,14,2.81,13,13,1.17,10,12,0,2
34,14,2.83,14,14,1.17,10,12,0,2
35,14,1.52,3,1,-1.4,11,8,0,2
35,15,1.56,6,5,-1.4,11,8,0,2
35,15,1.78,8,7,-1.4,11,8,0,2
35,15,1.79,9,8,-1.4,11,8,0,2
35,15,2.28,10,9,-1.4,11,8,0,2
35,15,2.15,11,10,-1.4,11,8,0,2
35,15,1.04,14,13,-1.4,11,8,0,2
36,12,2.34,2,2,1.61,16,12,0,2
36,14,2.34,2,4,1.61,16,12,0,2
36,15,1.96,2,5,1.61,16,12,0,2
36,15,2.36,3,6,1.61,16,12,0,2
36,15,2.11,4,7,1.61,16,12,0,2
36,15,2.46,5,8,1.61,16,12,0,2
36,15,2.8,6,9,1.61,16,12,0,2
36,15,2.95,7,10,1.61,16,12,0,2
36,15,3.05,8,11,1.61,16,12,0,2
36,15,2.73,9,12,1.61,16,12,0,2
36,15,2.89,10,13,1.61,16,12,0,2
36,15,3.62,11,14,1.61,16,12,0,2
37,11,1.79,2,1,0.41,11,10,0,1
37,11,2.19,4,3,0.41,11,10,0,1
37,11,3.01,5,4,0.41,11,10,0,1
37,11,2.47,6,5,0.41,11,10,0,1
37,11,1.88,7,6,0.41,11,10,0,1
37,11,2.14,8,7,0.41,11,10,0,1
37,11,2.28,9,8,0.41,11,10,0,1
37,11,2.27,10,9,0.41,11,10,0,1
37,11,2.28,11,10,0.41,11,10,0,1
37,11,2.39,12,11,0.41,11,10,0,1
37,11,3.05,14,13,0.41,11,10,0,1
37,11,2.12,15,14,0.41,11,10,0,1
38,11,1.86,1,1,1.62,16,16,0,1
38,12,1.86,1,2,1.62,16,16,0,1
38,14,2.47,1,4,1.62,16,16,0,1
38,14,2.51,2,5,1.62,16,16,0,1
38,14,2.48,3,6,1.62,16,16,0,1
38,14,2.39,5,8,1.62,16,16,0,1
38,14,2.41,6,9,1.62,16,16,0,1
38,14,2.47,7,10,1.62,16,16,0,1
38,15,2.46,7,11,1.62,16,16,0,1
39,13,1.92,4,0,-1.06,12,14,0,7
39,13,2,6,2,-1.06,12,14,0,7
39,13,1.89,7,3,-1.06,12,14,0,7
39,13,2.01,8,4,-1.06,12,14,0,7
39,13,1.54,9,5,-1.06,12,14,0,7
39,13,2.04,11,7,-1.06,12,14,0,7
40,13,2.29,4,2,0.51,14,15,0,7
40,13,2.66,5,3,0.51,14,15,0,7
40,13,3.05,6,4,0.51,14,15,0,7
40,13,2.5,7,5,0.51,14,15,0,7
40,13,2.57,8,6,0.51,14,15,0,7
40,13,2.73,9,7,0.51,14,15,0,7
40,13,2.43,10,8,0.51,14,15,0,7
40,13,3.07,11,9,0.51,14,15,0,7
40,13,3.38,12,10,0.51,14,15,0,7
40,13,3.05,13,11,0.51,14,15,0,7
40,13,3.04,14,12,0.51,14,15,0,7
40,13,2.74,15,13,0.51,14,15,0,7
41,15,2.44,3,5,0.68,13,14,0,3
41,15,2.57,4,6,0.68,13,14,0,3
41,15,2.7,5,7,0.68,13,14,0,3
41,15,2.51,6,8,0.68,13,14,0,3
41,15,2.78,7,9,0.68,13,14,0,3
41,15,2.81,8,10,0.68,13,14,0,3
41,16,2.74,8,11,0.68,13,14,0,3
41,16,2.7,9,12,0.68,13,14,0,3
41,16,2.78,10,13,0.68,13,14,0,3
41,16,2.85,11,14,0.68,13,14,0,3
42,11,2.2,2,1,0.48,9,12,0,5
42,11,2.41,3,2,0.48,9,12,0,5
42,11,2.46,4,3,0.48,9,12,0,5
42,11,2.35,5,4,0.48,9,12,0,5
42,11,2.41,7,6,0.48,9,12,0,5
42,11,2.73,8,7,0.48,9,12,0,5
42,11,2.84,10,9,0.48,9,12,0,5
42,11,2.78,11,10,0.48,9,12,0,5
42,11,3,12,11,0.48,9,12,0,5
42,11,2.95,13,12,0.48,9,12,0,5
42,11,3.29,14,13,0.48,9,12,0,5
43,12,1.51,3,6,-0.12,9,12,0,5
43,12,1.82,4,7,-0.12,9,12,0,5
43,12,2.62,5,8,-0.12,9,12,0,5
43,12,1.08,6,9,-0.12,9,12,0,5
43,12,2.54,7,10,-0.12,9,12,0,5
43,12,2.37,8,11,-0.12,9,12,0,5
43,12,2.46,9,12,-0.12,9,12,0,5
43,12,2.65,10,13,-0.12,9,12,0,5
43,12,2.76,11,14,-0.12,9,12,0,5
44,14,2.04,2,6,0.84,16,16,0,4
44,15,2,2,7,0.84,16,16,0,4
44,15,3.1,5,10,0.84,16,16,0,4
44,15,2.46,6,11,0.84,16,16,0,4
44,15,2.25,8,13,0.84,16,16,0,4
44,15,2.4,9,14,0.84,16,16,0,4
45,11,1.63,6,6,-0.13,12,12,0,3
45,11,2.24,9,9,-0.13,12,12,0,3
45,11,2.3,10,10,-0.13,12,12,0,3
45,11,2.02,11,11,-0.13,12,12,0,3
45,11,2.13,12,12,-0.13,12,12,0,3
46,12,1.61,12,14,1.08,12,12,0,3
47,12,1.8,2,3,0.88,12,12,1,2
47,12,1.79,3,4,0.88,12,12,1,2
47,12,1.71,4,5,0.88,12,12,1,2
47,12,2,5,6,0.88,12,12,1,2
47,12,2.32,6,7,0.88,12,12,1,2
47,12,2.44,8,9,0.88,12,12,1,2
47,12,2.54,9,10,0.88,12,12,1,2
47,12,2.56,10,11,0.88,12,12,1,2
47,12,2.6,11,12,0.88,12,12,1,2
47,12,2.6,12,13,0.88,12,12,1,2
47,12,2.69,13,14,0.88,12,12,1,2
48,12,1.82,2,0,-0.59,12,14,1,0
48,12,1.77,3,1,-0.59,12,14,1,0
48,12,1.89,4,2,-0.59,12,14,1,0
48,12,1.8,5,3,-0.59,12,14,1,0
48,12,2.08,6,4,-0.59,12,14,1,0
48,12,1.74,7,5,-0.59,12,14,1,0
48,12,1.42,8,6,-0.59,12,14,1,0
48,12,1.79,9,7,-0.59,12,14,1,0
48,12,1.77,10,8,-0.59,12,14,1,0
48,12,1.48,11,9,-0.59,12,14,1,0
48,12,1.92,12,10,-0.59,12,14,1,0
48,12,2.61,13,11,-0.59,12,14,1,0
48,12,2.56,14,12,-0.59,12,14,1,0
48,12,2.36,15,13,-0.59,12,14,1,0
48,12,2.05,16,14,-0.59,12,14,1,0
49,9,2.15,4,3,0.2,12,12,0,3
49,9,1.62,5,4,0.2,12,12,0,3
49,9,1.2,7,6,0.2,12,12,0,3
49,9,1.48,10,9,0.2,12,12,0,3
49,9,2.02,11,10,0.2,12,12,0,3
49,9,2.37,14,13,0.2,12,12,0,3
49,9,1.48,15,14,0.2,12,12,0,3
50,14,1.79,0,2,1.4,16,17,0,2
50,14,1.72,1,3,1.4,16,17,0,2
50,15,1.88,1,4,1.4,16,17,0,2
50,16,2.25,2,6,1.4,16,17,0,2
50,16,2.41,3,7,1.4,16,17,0,2
50,16,2.64,4,8,1.4,16,17,0,2
50,16,2.81,5,9,1.4,16,17,0,2
50,16,3.03,6,10,1.4,16,17,0,2
50,16,3.28,7,11,1.4,16,17,0,2
50,16,3.22,8,12,1.4,16,17,0,2
50,16,3.08,9,13,1.4,16,17,0,2
50,17,3.32,9,14,1.4,16,17,0,2
51,12,1.85,1,2,0.93,16,18,0,2
51,14,1.62,1,4,0.93,16,18,0,2
51,14,1.59,2,5,0.93,16,18,0,2
51,14,2.46,3,6,0.93,16,18,0,2
51,14,3.29,5,8,0.93,16,18,0,2
51,14,3.13,6,9,0.93,16,18,0,2
51,14,3.03,7,10,0.93,16,18,0,2
51,14,3.04,8,11,0.93,16,18,0,2
51,14,2.94,9,12,0.93,16,18,0,2
51,14,3.03,10,13,0.93,16,18,0,2
52,12,1.8,2,2,0.91,10,12,0,3
52,12,1.7,3,3,0.91,10,12,0,3
52,12,2.25,4,4,0.91,10,12,0,3
52,12,2.02,5,5,0.91,10,12,0,3
52,12,1.82,6,6,0.91,10,12,0,3
52,12,2.4,7,7,0.91,10,12,0,3
52,12,2.36,8,8,0.91,10,12,0,3
52,12,2.5,9,9,0.91,10,12,0,3
52,13,2.48,9,10,0.91,10,12,0,3
52,13,2.51,10,11,0.91,10,12,0,3
52,13,2.49,11,12,0.91,10,12,0,3
52,13,2.61,12,13,0.91,10,12,0,3
52,13,2.55,13,14,0.91,10,12,0,3
53,12,2.34,2,2,0.98,13,12,0,0
53,13,2.1,2,3,0.98,13,12,0,0
53,13,2.86,3,4,0.98,13,12,0,0
53,14,2.77,3,5,0.98,13,12,0,0
53,15,2.16,5,8,0.98,13,12,0,0
53,15,1.91,6,9,0.98,13,12,0,0
53,15,2.64,7,10,0.98,13,12,0,0
53,15,2.64,8,11,0.98,13,12,0,0
53,15,2.63,9,12,0.98,13,12,0,0
53,15,2.69,10,13,0.98,13,12,0,0
53,15,2.79,11,14,0.98,13,12,0,0
54,11,1.97,2,0,0.15,12,12,0,2
54,11,1.95,3,1,0.15,12,12,0,2
54,11,1.79,4,2,0.15,12,12,0,2
54,11,1.98,5,3,0.15,12,12,0,2
54,11,2.39,6,4,0.15,12,12,0,2
54,11,1.91,7,5,0.15,12,12,0,2
54,11,1.85,8,6,0.15,12,12,0,2
54,11,2.61,11,9,0.15,12,12,0,2
54,11,2.22,12,10,0.15,12,12,0,2
54,11,2.42,13,11,0.15,12,12,0,2
54,11,2.81,14,12,0.15,12,12,0,2
54,11,2.66,15,13,0.15,12,12,0,2
54,11,2.68,16,14,0.15,12,12,0,2
55,12,2.25,3,0,1.07,12,14,0,2
55,12,2.38,6,3,1.07,12,14,0,2
55,12,2.42,7,4,1.07,12,14,0,2
55,12,2.09,8,5,1.07,12,14,0,2
55,12,2.54,9,6,1.07,12,14,0,2
55,12,1.74,11,8,1.07,12,14,0,2
56,12,1.76,1,4,0.29,12,12,0,3
56,12,1.87,2,5,0.29,12,12,0,3
56,12,1.62,4,7,0.29,12,12,0,3
56,12,2.05,5,8,0.29,12,12,0,3
56,12,2.7,6,9,0.29,12,12,0,3
56,12,2.13,7,10,0.29,12,12,0,3
56,12,1.92,8,11,0.29,12,12,0,3
56,12,2.09,9,12,0.29,12,12,0,3
57,12,1.43,2,5,0.06,12,12,0,2
57,13,1.58,2,6,0.06,12,12,0,2
57,14,1.4,2,7,0.06,12,12,0,2
57,14,1.84,3,8,0.06,12,12,0,2
57,14,2.76,4,9,0.06,12,12,0,2
57,14,2.53,5,10,0.06,12,12,0,2
57,14,2.5,6,11,0.06,12,12,0,2
57,14,2.49,7,12,0.06,12,12,0,2
57,14,2.6,8,13,0.06,12,12,0,2
57,14,2.04,9,14,0.06,12,12,0,2
58,14,2.1,8,6,-0.08,10,12,0,2
58,14,2.35,9,7,-0.08,10,12,0,2
58,14,2.34,10,8,-0.08,10,12,0,2
58,14,2.41,11,9,-0.08,10,12,0,2
58,14,2.48,12,10,-0.08,10,12,0,2
58,14,2.33,13,11,-0.08,10,12,0,2
58,14,2.65,14,12,-0.08,10,12,0,2
58,15,2.67,15,14,-0.08,10,12,0,2
59,16,2.92,4,4,0.45,12,12,0,1
59,16,3.02,5,5,0.45,12,12,0,1
59,16,2.87,6,6,0.45,12,12,0,1
59,16,2.94,7,7,0.45,12,12,0,1
59,16,3.01,8,8,0.45,12,12,0,1
59,16,3.08,9,9,0.45,12,12,0,1
59,16,3.11,10,10,0.45,12,12,0,1
59,16,3.17,11,11,0.45,12,12,0,1
59,16,3.17,12,12,0.45,12,12,0,1
59,16,3.15,13,13,0.45,12,12,0,1
59,16,3.21,14,14,0.45,12,12,0,1
60,14,3.18,4,9,0.63,12,12,0,1
60,14,2.79,5,10,0.63,12,12,0,1
60,14,2.52,6,11,0.63,12,12,0,1
60,14,2.81,7,12,0.63,12,12,0,1
60,14,2.83,8,13,0.63,12,12,0,1
61,13,2.01,1,0,1.15,10,16,0,1
61,15,2.75,4,5,1.15,10,16,0,1
61,15,2.89,5,6,1.15,10,16,0,1
61,16,3.27,5,7,1.15,10,16,0,1
61,17,3.38,5,8,1.15,10,16,0,1
61,17,3.42,6,9,1.15,10,16,0,1
61,17,3.45,7,10,1.15,10,16,0,1
61,17,3.36,8,11,1.15,10,16,0,1
61,17,3.27,9,12,1.15,10,16,0,1
61,17,0.68,10,13,1.15,10,16,0,1
61,17,3.25,11,14,1.15,10,16,0,1
62,13,1.43,1,5,1.85,20,16,0,1
62,15,2.8,3,9,1.85,20,16,0,1
62,17,2.63,4,12,1.85,20,16,0,1
62,17,2.86,6,14,1.85,20,16,0,1
63,11,1.48,1,2,0.61,16,17,0,1
63,12,1.79,1,3,0.61,16,17,0,1
63,13,1.91,1,4,0.61,16,17,0,1
63,14,2.05,1,5,0.61,16,17,0,1
63,14,2.45,2,6,0.61,16,17,0,1
63,15,2.38,2,7,0.61,16,17,0,1
63,16,2.4,2,8,0.61,16,17,0,1
63,16,2.24,3,9,0.61,16,17,0,1
63,16,2.2,4,10,0.61,16,17,0,1
63,16,2.69,6,12,0.61,16,17,0,1
63,16,2.76,8,14,0.61,16,17,0,1
64,12,2.36,5,2,-0.9,12,12,0,2
64,12,2.41,6,3,-0.9,12,12,0,2
64,12,2.55,7,4,-0.9,12,12,0,2
64,12,2.46,8,5,-0.9,12,12,0,2
64,12,2.3,9,6,-0.9,12,12,0,2
64,12,2.66,10,7,-0.9,12,12,0,2
64,12,2.54,15,12,-0.9,12,12,0,2
64,12,2.84,16,13,-0.9,12,12,0,2
64,12,2.29,17,14,-0.9,12,12,0,2
65,14,2.19,2,0,0.78,13,20,0,1
65,14,2.19,3,1,0.78,13,20,0,1
65,15,2.51,6,5,0.78,13,20,0,1
65,15,2.51,7,6,0.78,13,20,0,1
65,15,2.68,8,7,0.78,13,20,0,1
65,15,2.7,9,8,0.78,13,20,0,1
65,15,2.79,10,9,0.78,13,20,0,1
65,15,2.93,11,10,0.78,13,20,0,1
65,15,3.61,12,11,0.78,13,20,0,1
65,15,4.17,13,12,0.78,13,20,0,1
65,15,3.84,15,14,0.78,13,20,0,1
66,12,1.63,3,2,0.77,16,16,0,1
66,12,2.01,4,3,0.77,16,16,0,1
66,12,2.18,6,5,0.77,16,16,0,1
66,13,1.81,9,9,0.77,16,16,0,1
66,14,1.52,9,10,0.77,16,16,0,1
66,14,1.57,10,11,0.77,16,16,0,1
66,14,2.61,11,12,0.77,16,16,0,1
66,14,2.63,12,13,0.77,16,16,0,1
66,14,1.85,13,14,0.77,16,16,0,1
67,9,2.1,5,3,-0.89,11,12,1,2
67,9,2.39,6,4,-0.89,11,12,1,2
68,15,2.66,2,6,0.38,12,12,0,2
68,15,2.51,3,7,0.38,12,12,0,2
68,15,2.25,4,8,0.38,12,12,0,2
68,15,1.88,5,9,0.38,12,12,0,2
68,15,2.75,6,10,0.38,12,12,0,2
68,15,2.8,7,11,0.38,12,12,0,2
68,15,2.61,8,12,0.38,12,12,0,2
68,15,2.75,9,13,0.38,12,12,0,2
68,15,2.75,10,14,0.38,12,12,0,2
69,12,2.37,3,2,0.58,12,16,0,3
69,12,3.02,4,3,0.58,12,16,0,3
69,12,2.67,5,4,0.58,12,16,0,3
69,12,2.69,6,5,0.58,12,16,0,3
69,12,2.67,7,6,0.58,12,16,0,3
69,12,2.77,8,7,0.58,12,16,0,3
69,12,2.8,9,8,0.58,12,16,0,3
69,12,2.89,10,9,0.58,12,16,0,3
69,12,2.64,11,10,0.58,12,16,0,3
69,12,2.76,12,11,0.58,12,16,0,3
69,12,2.89,13,12,0.58,12,16,0,3
69,12,2.92,14,13,0.58,12,16,0,3
69,12,3.02,15,14,0.58,12,16,0,3
70,11,1.73,2,2,1.3,12,16,0,3
70,15,2.68,4,8,1.3,12,16,0,3
70,15,2.77,5,9,1.3,12,16,0,3
70,15,2.46,6,10,1.3,12,16,0,3
70,15,2.68,7,11,1.3,12,16,0,3
70,15,2.77,8,12,1.3,12,16,0,3
