lfp,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
1,1173,0,1,46,12,2.2899001,2.5,2068,46,12,6.5401001,30000,0.69150001,7,7,11,1,12,27.31395,0.8285082,144
1,3640,0,0,58,12,1.0989,0,2010,58,12,7.2139001,18500,0.69150001,7,3,9.5,1,32,14.5,0.094309598,1024
1,340,0,8,37,12,1.1765,0,2152,40,10,6.2732,16658,0.75150001,12,7,5,0,15,16.25799,0.16254389,225
1,500,0,0,52,8,1.6,0,1496,54,11,5.8824,10300,0.75150001,7,7,5,1,17,9.5,0.4700036,289
1,1599,0,0,52,10,1.8762,2.8,2100,47,4,3.8095,11000,0.75150001,7,3,7.5,0,34,7.9999561,0.62924838,1156
1,1830,0,0,31,16,4.0437002,4.1999998,1960,35,14,6.3776002,19900,0.69150001,12,12,7.5,1,9,12.50003,1.3971601,81
1,1920,0,0,55,14,9.6353998,8.75,1985,55,15,6.0453,32500,0.63999999,7,7,14,1,37,14.00003,2.265444,1369
1,2052,0,0,34,17,8.0409002,8.25,2020,33,17,8.8119001,37300,0.57999998,17,17,7.5,1,10,20.80007,2.0845411,100
1,2312,0,0,55,14,4.599,5.5799999,2178,56,16,8.8765001,30018,0.58149999,17,7,11,1,35,19.385111,1.525839,1225
1,196,0,2,39,12,2.1429,2.5,3684,39,12,3.342,12807,0.75150001,12,7,14,1,6,12.38699,0.76216012,36
1,2500,0,3,40,14,4.4000001,5.5,5010,42,13,3.1835999,39500,0.55150002,14,3,7.5,0,19,28.5,1.4816051,361
1,1980,0,4,43,12,3.5353999,3.75,1880,47,12,6.9148998,22050,0.69150001,12,12,9.5,1,10,15.04991,1.262826,100
1,1840,0,0,48,8,2.7174001,4.8000002,1904,56,8,5.5146999,15500,0.72149998,7,7,14,1,11,10.49998,0.99967557,121
1,320,0,0,47,12,6.25,6.25,2083,47,12,5.2807999,13810,0.72149998,7,7,9.5,1,15,11.81,1.832582,225
1,419,0,4,41,12,11.933,6.3000002,2125,44,12,3.2,11950,0.75150001,7,7,5,1,12,6.9500728,2.4793079,144
1,1880,0,0,36,8,3.5931001,3.75,1985,37,12,5.8790998,19175,0.69150001,12,12,7.5,0,12,12.41997,1.2790149,144
1,72,0,2,46,17,6.9443998,0,2640,48,17,6.25,17900,0.69150001,12,16,7.5,0,14,17.4,1.9379359,196
1,120,0,0,34,12,2.9166999,0,2070,51,8,7.4878998,15850,0.72149998,12,7,5,1,11,15.5,1.070453,121
1,1885,0,3,41,12,3.0769,2.9000001,2107,48,8,6.9766998,27017,0.69150001,7,7,5,1,9,21.217039,1.1239229,81
1,240,0,1,51,12,3.75,0,2250,54,10,8,18900,0.69150001,12,7,5,0,24,18,1.321756,576
1,1729,0,0,33,12,5.7259002,4.7600002,2880,34,16,4.1318998,21800,0.69150001,12,12,7.5,1,12,11.89992,1.745,144
1,1850,0,0,52,12,3.6756999,3.4000001,1848,53,12,14.476,33552,0.55150002,10,10,7.5,1,13,26.751961,1.301744,169
1,2033,0,0,58,9,5.1648002,4.3200002,1927,53,7,5.7343001,22650,0.66149998,7,9,7.5,1,29,12.14996,1.641866,841
1,608,2,4,34,10,8.2236996,3,1304,38,9,3.3742001,15200,0.79149997,0,0,7.5,1,11,10.19999,2.1070199,121
1,1153,0,1,31,12,4.3365002,4.52,3000,35,12,1.8333,13120,0.72149998,7,10,7.5,1,13,8.1200151,1.467068,169
1,2208,0,1,48,12,4.9819002,5.3099999,1892,52,12,5.6025,21660,0.66149998,12,14,5,1,19,10.65996,1.605811,361
1,252,0,2,32,12,0.35710001,0,3644,32,12,4.2975001,18190,0.72149998,7,7,3,0,2,18.10001,-1.029739,4
1,337,0,0,49,17,2.9674001,0,1430,47,17,3.9161,9600,0.75150001,3,3,14,1,24,8.5999861,1.0876859,576
1,90,2,2,32,15,1,0,2350,31,14,4.8786998,13755,0.75150001,10,12,7.5,1,9,13.665,0,81
1,1174,0,0,58,12,2.5553999,4.8699999,1948,59,16,9.2402,35350,0.66149998,7,12,7.5,1,6,32.34996,0.9382087,36
1,372,0,0,50,6,0.86019999,2.25,1804,42,12,6.6518998,12405,0.72149998,12,7,7.5,1,22,12.08501,-0.1505904,484
1,30,0,0,60,14,1,0,2326,51,12,4.6216998,12180,0.75150001,12,17,9.5,0,30,12.15,0,900
1,1800,0,1,50,12,2.9261,0,1739,55,11,9.9741001,22962,0.66149998,7,3,7.5,1,10,17.695021,1.073671,100
1,282,0,0,56,14,3.5460999,2.5,1176,57,17,20.917999,25700,0.62150002,7,7,9.5,1,6,24.700001,1.265848,36
1,720,0,0,51,9,1.6264,2.2,1100,55,8,1.9400001,3305,0.79149997,7,7,3,0,29,2.133992,0.48636901,841
1,1440,0,1,54,17,8.3332996,6,1528,58,17,8.8351002,32950,0.58149999,7,12,5,1,29,20.95005,2.12026,841
1,2100,0,0,59,13,3.0952001,2.95,2250,52,15,4.6666999,17000,0.69150001,7,7,5,1,36,10.50008,1.129853,1296
1,1000,0,2,46,9,2.7,2.3499999,1927,47,10,5.1894002,13250,0.75150001,7,7,5,1,19,10.55,0.9932518,361
1,952,0,1,46,15,5.2521,0,2414,47,16,18.724001,50750,0.44150001,7,12,5,1,8,45.75,1.658628,64
1,1413,1,3,39,12,1.4154,2.2,768,49,8,10.417,15632,0.77149999,10,10,14,0,13,13.63204,0.3474122,169
1,2100,0,2,44,12,4.7986002,4.8499999,1984,43,14,8.8458004,28316,0.62150002,7,0,11,1,16,18.238939,1.568324,256
1,120,2,0,33,12,1.6667,2.3699999,2246,36,12,7.5689998,17290,0.72149998,12,12,9.5,1,11,17.09,0.5108456,121
1,3000,1,2,33,12,1.1217,0,3024,30,17,4.4506998,33600,0.62150002,10,10,7.5,1,15,30.2349,0.1148454,225
1,1000,0,2,48,12,0.5,0,2921,52,12,9.3204002,29200,0.62150002,12,7,9,1,6,28.700001,-0.69314718,36
1,336,0,4,31,12,0.71429998,0,2045,37,17,9.1687002,19870,0.69150001,7,7,11,0,13,19.629999,-0.33645231,169
1,1216,0,1,45,12,2.7960999,2.9000001,1928,44,12,6.4833999,16225,0.72149998,7,7,11,0,22,12.82494,1.028226,484
1,988,0,1,45,12,4.8583002,4.5,1920,44,10,7.8125,28600,0.69150001,7,3,5,1,24,23.799999,1.580689,576
1,2581,0,2,32,13,1.7435,2.5999999,2280,37,17,11.404,30800,0.58149999,14,12,7.5,1,2,26.30003,0.55589461,4
1,2030,0,0,47,12,2.4631,2.8,2300,47,17,5.0869999,25700,0.69150001,7,7,3,0,6,20.699909,0.90142071,36
1,413,0,2,34,13,2.4212999,3,2480,35,13,6.9758,27000,0.62150002,12,12,3,0,2,26,0.88430458,4
1,782,0,1,37,12,1.5345,2.3,1135,34,10,5.2863002,12077,0.77149999,12,7,9.5,1,2,10.87702,0.4282046,4
1,1388,0,1,36,12,2.8817999,1.87,1384,39,12,11.562,29612,0.66149998,7,7,11,0,14,25.612061,1.0584151,196
1,1450,1,2,47,12,2.4068999,3,1848,50,14,8.6061001,24479,0.69150001,7,10,9.5,1,9,20.988991,0.87833959,81
1,1720,0,1,48,16,5.2326002,4.6799998,2499,46,17,12.805,79750,0.44150001,14,14,7.5,1,11,70.749931,1.6549079,121
1,800,0,2,42,12,3.75,2.5,2390,43,12,6.6946001,20050,0.69150001,12,7,11,0,9,17.049999,1.321756,81
1,360,0,3,33,13,1.3889,0,2400,44,14,8.3332996,21500,0.69150001,10,12,11,1,6,21,0.3285121,36
1,2000,0,0,46,11,4,4.6100001,1920,53,8,4.1666999,16120,0.69150001,7,7,5,0,19,8.1199999,1.386294,361
1,1176,0,3,47,12,3.2313001,3.3499999,2301,48,13,5.4759002,24686,0.72149998,7,7,9.5,0,26,20.88599,1.1728849,676
1,2058,0,1,44,12,3.4014001,3.8,1944,43,10,5.1440001,24669,0.69150001,7,10,9.5,1,19,17.668921,1.224187,361
1,900,0,4,36,12,1.3333,2.2,2100,37,17,11.667,26400,0.66149998,7,7,7.5,1,3,25.200029,0.28765711,9
1,215,2,0,31,17,9.3023005,9.9799995,1920,32,16,7.2916999,16245,0.72149998,12,12,7.5,1,7,14.24501,2.230262,49
1,2000,0,0,55,14,4.5,4.3699999,2880,55,14,4.8611002,23300,0.66149998,7,7,9.5,1,28,14.3,1.504077,784
1,757,0,1,45,16,4.6234999,4.5,1932,48,16,12.164,27200,0.62150002,12,7,9.5,1,13,23.70001,1.531152,169
1,1264,0,0,47,17,3.9556999,0,3234,48,17,10.823,51000,0.46149999,10,17,9.5,1,9,46,1.375158,81
1,2064,0,3,46,12,5.8140001,6,2805,47,12,12.478,55000,0.46149999,10,7,14,1,15,42.999901,1.760269,225
1,1280,0,0,49,11,0.5,0,2272,52,9,6.1620002,15389,0.72149998,7,7,7.5,1,20,14.749,-0.69314718,400
1,1715,0,0,49,12,4.0816002,3.75,2227,52,14,7.1845999,23150,0.66149998,7,7,9.5,1,29,16.150049,1.406489,841
1,2000,0,2,45,12,6,4.9499998,1720,49,6,7.0929999,29774,0.62150002,7,10,14,1,9,17.774,1.791759,81
1,12,1,3,38,17,3.6666999,0,2300,38,13,17.826,91044,0.44150001,12,10,14,1,1,91,1.299292,1
1,1528,0,0,47,10,3.8613,2.95,3410,50,12,6.3930001,28200,0.58149999,7,12,14,1,8,22.299931,1.351004,64
1,561,0,3,54,13,2.7629001,2.53,2304,57,16,11.719,36150,0.55150002,7,7,9.5,1,19,34.60001,1.016281,361
1,2058,0,0,41,11,2.931,2.9000001,1984,42,12,4.7883,15652,0.72149998,12,12,7.5,0,23,9.6200018,1.075344,529
1,1823,0,2,43,12,4.3884001,4.1999998,1890,33,14,4.2328,18900,0.75150001,14,7,11,0,3,10.89995,1.478965,9
1,1680,1,1,31,16,5.4166999,4.6999998,1970,32,12,7.1065998,23600,0.66149998,12,10,7.5,0,13,14.49994,1.689487,169
1,1440,0,0,47,17,9.8611002,7.0999999,2400,46,12,8.3332996,36200,0.61000001,7,7,7.5,1,8,22.000019,2.2885981,64
1,4950,0,2,35,12,0.16159999,2.75,2504,37,12,6.9888,18700,0.69150001,10,10,7.5,0,17,17.90008,-1.822631,289
1,1176,0,3,45,16,0.38260001,3.75,2398,48,17,9.5913,24125,0.66149998,7,7,11,1,4,23.67506,-0.96076518,16
1,1100,1,0,33,12,3.6364,3.5799999,1960,39,12,6.0204,15800,0.72149998,7,7,7.5,0,15,11.79996,1.290994,225
1,1516,0,1,54,16,2.3747001,2.4000001,2550,55,12,2.9686,19742,0.72149998,12,7,3,0,11,16.141951,0.86487108,121
1,900,0,4,35,8,4.6666999,3.95,2500,41,12,7,22600,0.69150001,10,7,9.5,0,7,18.399969,1.540452,49
1,1080,1,2,31,12,1.8519,2.25,2164,37,10,7.1627002,17500,0.72149998,7,7,7.5,0,0,15.49995,0.61621213,0
1,480,0,0,55,12,5.1999998,0,2640,60,12,4.7364001,19820,0.69150001,7,7,7.5,0,0,17.323999,1.648659,0
1,288,0,2,34,12,3.2986,4.6199999,1936,36,12,8.7810001,20155,0.69150001,12,16,11,1,10,19.205,1.193498,100
1,1875,0,1,38,13,8.5333004,8.5,2136,41,12,9.8315001,37300,0.57999998,10,12,7.5,1,8,21.30006,2.143976,64
1,630,0,1,45,11,2.0634999,0,1955,51,10,6.6496,24860,0.72149998,7,7,7.5,1,2,23.559999,0.72440362,4
1,234,0,1,47,12,2.5641,2.5,1980,48,10,9.8485003,21450,0.66149998,12,3,7.5,1,4,20.85,0.94160748,16
1,1600,0,2,39,12,2.1875,0,2550,42,11,9.8038998,29650,0.62150002,7,7,5,1,6,26.15,0.78275943,36
1,960,1,0,36,14,6.25,0,2058,37,13,8.2603998,23000,0.66149998,7,7,11,1,18,17,1.832582,324
1,120,1,2,33,12,3.3333001,0,2263,32,14,9.0676003,21120,0.69150001,7,7,9,1,3,20.719999,1.203963,9
1,2025,0,0,50,12,4.4443998,4.8000002,1763,54,13,8.5081997,26000,0.62150002,7,12,5,1,22,17.00009,1.491645,484
1,1809,0,0,58,12,6.6335001,6.4499998,2096,59,14,7.1564999,28000,0.62150002,3,7,7.5,1,33,16,1.892133,1089
1,3087,0,0,49,17,8.4224005,9.9799995,2059,47,13,7.0423002,45500,0.51999998,12,12,11,1,28,19.50005,2.1308949,784
1,910,0,2,41,14,4.3955998,0,1820,40,17,6.5934,16000,0.72149998,16,12,14,1,23,12,1.4806041,529
1,1840,0,1,51,12,2.4456999,2.5,2832,53,8,4.3456998,18232,0.69150001,7,14,11,0,27,13.73191,0.89433128,729
1,784,0,0,53,9,1.2244999,2.25,1990,60,10,7.2361999,28160,0.72149998,3,7,14,1,11,27.199989,0.2025325,121
1,400,1,2,36,12,1.625,0,2000,40,7,1.74,5965,0.80150002,12,7,11,1,6,5.3150001,0.48550779,36
1,1000,0,2,46,12,3,5.5,1885,46,12,6.8965998,19000,0.72149998,7,7,9.5,1,11,16,1.098612,121
1,1904,0,2,36,12,4.7269001,4.1999998,2860,37,12,5.0454998,36872,0.55150002,12,12,11,1,14,27.871981,1.55327,196
1,1771,0,1,53,14,1.1293,9.9799995,1913,48,16,17.25,42000,0.49149999,12,12,14,1,17,40.000011,0.121598,289
1,1486,0,3,40,16,7.4024,6.25,1800,54,16,8.3332996,26900,0.62150002,16,14,11,1,17,15.90003,2.0018041,289
1,740,0,2,42,17,4.4594998,1.65,2880,45,16,9.375,30800,0.58149999,12,10,9,0,14,27.499969,1.495037,196
1,1820,1,1,33,15,2.4725001,0,1993,32,16,8.2790003,21520,0.69150001,12,12,11,1,11,17.02005,0.90522981,121
1,1275,0,3,43,12,1.8824,3,2250,47,14,4.5,24795,0.69150001,7,7,7.5,1,7,22.394939,0.63254762,49
1,450,1,0,31,16,4,4,2286,30,16,4.1995001,12900,0.72149998,14,16,14,1,8,11.1,1.386294,64
1,1221,0,0,47,17,8.1899996,5.9899998,1880,47,16,16.063999,42700,0.49149999,7,7,7.5,1,6,32.700008,2.1029141,36
1,1550,0,0,54,17,7.0967999,6,2350,58,17,11.277,38800,0.52149999,10,17,11,1,8,27.799959,1.959644,64
1,180,1,3,33,12,1.6667,0,3640,33,11,0.54939997,2500,0.94150001,7,3,3,0,4,2.1999941,0.5108456,16
1,2090,0,0,43,16,3.4449999,3.8499999,1770,47,14,9.5480003,26921,0.62150002,14,10,11,1,25,19.720949,1.2369241,625
1,1960,0,1,46,13,4.2347002,4.1999998,1875,49,13,5.3333001,18300,0.69150001,7,9,3,0,24,9.9999876,1.443313,576
1,1440,0,3,35,12,2.7778001,4.0999999,2200,38,9,5.4545002,17200,0.72149998,7,7,14,1,11,13.19997,1.021659,121
1,794,0,3,37,11,1.8892,3.8499999,2033,39,12,5.9025998,14209,0.75150001,12,3,9.5,1,19,12.70897,0.63615352,361
1,993,0,2,37,16,5.0352001,8.3000002,2739,39,17,9.8576002,32300,0.58149999,12,16,14,1,9,27.300051,1.6164531,81
1,160,0,3,34,14,1.25,0,1626,38,14,11.685,21400,0.72149998,17,12,7.5,1,19,21.200001,0.2231435,361
1,105,1,0,43,16,2.8571,0,2248,44,17,6.2277999,14700,0.72149998,7,7,9.5,0,14,14.4,1.049807,196
1,1200,0,0,46,12,4.1167002,4.3299999,2140,48,12,9.1747999,25516,0.62150002,7,7,9.5,1,22,20.57596,1.4150521,484
1,450,0,3,35,9,1.7778,2.5999999,1985,42,12,6.2972002,13300,0.75150001,3,7,5,1,6,12.49999,0.57537657,36
1,996,0,0,46,17,13.554,9.9799995,1528,59,17,10.471,31000,0.58149999,12,12,9.5,1,23,17.500219,2.6066821,529
1,1052,0,0,46,14,4.5626998,4.9000001,1920,48,16,14.583,48800,0.49149999,7,3,11,1,15,44.000038,1.517915,225
1,1128,0,2,43,12,2.1277001,2.4000001,1918,46,10,6.2143002,15519,0.72149998,7,7,14,1,6,13.11895,0.7550416,36
1,1840,0,0,30,12,2.9891,3.75,2112,30,12,6.6287999,19500,0.69150001,7,7,7.5,0,11,14.00006,1.094972,121
1,1910,0,2,41,11,2.5653999,2.5699999,2144,46,9,3.8246,14545,0.72149998,3,7,5,0,2,9.6450863,0.94211441,4
1,980,0,1,54,12,5.6121998,5,1920,54,15,7.8125,22897,0.69150001,7,7,14,1,22,17.397051,1.724943,484
1,2317,0,1,31,12,2.8053999,3.8699999,2241,41,9,3.4806001,14300,0.72149998,10,10,7.5,1,10,7.7998891,1.031546,100
1,1089,0,0,44,10,1.607,0,880,47,11,5.5500002,14884,0.75150001,10,10,9.5,1,14,13.13398,0.47436911,196
1,800,0,1,32,12,2.25,0,2070,31,16,11.594,27400,0.62150002,12,7,11,1,12,25.6,0.81093019,144
1,1230,0,0,47,5,2.0325,2.8199999,1050,53,5,9.5237999,16400,0.72149998,7,12,14,1,9,13.90003,0.7092666,81
1,1158,0,1,46,17,5.5320001,8.1000004,2635,57,17,7.2804999,25704,0.62150002,14,17,7.5,0,13,19.297939,1.710549,169
1,2272,0,0,37,11,1.5845,3.71,3000,47,8,3,12800,0.72149998,10,10,7.5,0,18,9.200016,0.46026891,324
1,528,0,2,51,12,3.7879,0,2500,50,11,10.4,40000,0.62150002,7,7,7.5,0,8,37.999989,1.331812,64
1,1000,0,1,49,12,3,0,1990,49,12,10.05,47000,0.66149998,7,7,14,1,11,44,1.098612,121
1,520,0,4,36,14,8.6538,0,2390,37,13,8.7866001,25872,0.66149998,10,12,9.5,1,9,21.372021,2.157999,81
1,760,0,1,39,11,4.2104998,3.95,1430,44,12,10.14,26868,0.69150001,12,7,9.5,1,9,23.66802,1.4375809,81
1,1920,0,2,48,12,4.6875,4.3000002,1800,50,8,5,18000,0.69150001,12,12,9.5,1,14,9,1.544899,196
1,1220,0,2,38,14,4.0984001,4.8400002,2103,43,17,11.888,30200,0.58149999,7,7,5,1,9,25.199949,1.410597,81
1,200,0,2,40,12,25,3,1350,42,12,13.333,26220,0.66149998,7,7,7.5,1,2,21.219999,3.2188759,4
1,2480,1,5,39,10,2.6331,4.1999998,2880,36,17,8.6806002,40500,0.58149999,7,7,3,0,12,33.96991,0.96816188,144
1,2750,0,0,37,16,6,9,2400,43,17,7.2916999,33570,0.61000001,12,7,7.5,1,15,17.07,1.791759,225
1,2014,0,1,49,13,5.4126,4.0500002,1135,47,12,3.5242,16917,0.72149998,7,14,14,1,11,6.0160241,1.68873,121
1,1355,0,3,33,12,0.66420001,1,2750,35,17,6.1817999,18000,0.72149998,12,7,9.5,0,7,17.10001,-0.409172,49
1,80,0,0,30,12,1.25,0,2085,32,16,2.9755001,8337,0.75150001,12,12,11,1,9,8.2370005,0.2231435,81
1,1670,0,0,54,12,2.2753999,2.0999999,2600,56,8,4.5769,17100,0.72149998,12,7,9.5,0,19,13.30008,0.82215577,361
1,520,0,4,39,11,3.4614999,3.05,3542,40,12,3.1056001,17800,0.75150001,10,7,11,0,11,16.000019,1.241702,121
1,288,0,3,43,12,4.1666999,3,1975,43,12,5.8228002,13740,0.75150001,12,12,14,1,8,12.53999,1.427124,64
1,2014,0,3,31,9,4.4686999,4.2600002,2400,32,12,7.5,27000,0.62150002,10,3,9.5,1,13,18.00004,1.497097,169
1,800,0,3,33,13,1.75,0,3000,37,14,8.3332996,32600,0.62150002,12,7,7.5,1,4,31.200001,0.55961579,16
1,1984,0,3,40,12,3.6694,4.25,1960,39,14,9.2347002,28030,0.66149998,12,12,14,1,7,20.74991,1.300028,49
1,1823,0,1,36,12,6.5826001,6,2000,39,9,5.5,23100,0.66149998,12,12,3,0,19,11.09992,1.8844301,361
1,1500,0,0,51,12,2.5999999,2,3000,51,12,6,24580,0.66149998,7,7,9.5,1,14,20.68,0.95551139,196
1,2261,0,1,44,13,4.8650999,5.5,2400,43,12,6.6666999,29000,0.62150002,12,7,9.5,1,14,18.00001,1.582087,196
1,1728,0,3,42,16,5.7870002,6.25,2450,48,14,13.061,42430,0.52149999,12,14,9.5,1,3,32.430069,1.755614,9
1,1960,0,1,40,12,4.5408001,5,2423,40,8,12.794,41800,0.52149999,12,12,7.5,1,9,32.900028,1.513103,81
1,1578,1,1,34,16,9.5057001,7.7199998,2000,33,16,12,39100,0.57999998,12,17,9.5,1,7,24.10001,2.2518921,49
1,1316,0,0,30,17,10.638,7,2526,41,16,6.73,31800,0.58149999,16,17,11,1,7,17.80039,2.3644321,49
1,1530,0,0,54,12,1.1111,1.13,2695,53,12,6.6789999,22200,0.69150001,7,7,14,0,14,20.500019,0.1053505,196
1,2220,0,0,51,12,4.0541,4.3699999,2048,54,12,4.3944998,19500,0.69150001,16,7,3,0,29,10.4999,1.399729,841
1,1336,0,2,44,9,2.6870999,2.6400001,1920,46,11,4.6875,14027,0.75150001,7,10,11,0,19,10.43703,0.98846251,361
1,1008,0,1,43,12,2.9762001,2.5,2338,42,9,7.6989002,21195,0.66149998,7,7,11,1,14,18.19499,1.090647,196
